# f=31.67754485207151,a=6760.000656878837,e=0.004426870208295852,i=26.264873442639626,Om=287.36198671622157,w=323.08397712963483,total_time=1.5,timestep=0.1
Bx,By,Bz,X,Y,Z
3.431357643712185990e+01,5.951867006470188848e+00,-8.474531608759447110e+00,-6.654361010355674807e+03,9.994475270642232090e+02,-2.720926446440764721e+02
3.431360829977182192e+01,5.951841051233262903e+00,-8.474650167165149739e+00,-6.654353721945827601e+03,9.994960523795460858e+02,-2.720926446440764721e+02
3.431303317160891453e+01,5.951949275099972958e+00,-8.469322216776848933e+00,-6.654464495735373930e+03,9.988627668155687616e+02,-2.717530449132061676e+02
3.431245774226317735e+01,5.952057265821919962e+00,-8.463994379298025450e+00,-6.654575192268871433e+03,9.982294698837636133e+02,-2.714134416357379109e+02
3.431188201144824035e+01,5.952165023637122410e+00,-8.458666653768094790e+00,-6.654685811617860054e+03,9.975961611059705092e+02,-2.710738348161066256e+02
3.431130597983499086e+01,5.952272548006594555e+00,-8.453339042783413859e+00,-6.654796353635601008e+03,9.969628414598303152e+02,-2.707342244587472919e+02
3.431072964713726492e+01,5.952379839168648878e+00,-8.448011545383511844e+00,-6.654906818393682443e+03,9.963295104672118896e+02,-2.703946105680949472e+02
3.431015301338785406e+01,5.952486897102504670e+00,-8.442684161793502895e+00,-6.655017205890903824e+03,9.956961681352136111e+02,-2.700549931485845718e+02
3.430957607861980563e+01,5.952593721787494907e+00,-8.437356892238527806e+00,-6.655127516126066439e+03,9.950628144709529579e+02,-2.697153722046512030e+02
3.430899884286599644e+01,5.952700313202915261e+00,-8.432029736943828624e+00,-6.655237749097967935e+03,9.944294494815435428e+02,-2.693757477407299916e+02
3.430842130615949515e+01,5.952806671328175980e+00,-8.426702696134624304e+00,-6.655347904805411417e+03,9.937960731741211475e+02,-2.690361197612561455e+02
3.430784346821413067e+01,5.952912796400540607e+00,-8.421375768850484889e+00,-6.655457983319621235e+03,9.931626850704577691e+02,-2.686964882706648154e+02
3.430726532970144405e+01,5.953018687883761650e+00,-8.416048957687959131e+00,-6.655567984494510711e+03,9.925292861483115985e+02,-2.683568532733912093e+02
3.430668689033543473e+01,5.953124346015362889e+00,-8.410722261686721879e+00,-6.655677908401350578e+03,9.918958759294960146e+02,-2.680172147738705917e+02
3.430610815014926374e+01,5.953229770774982832e+00,-8.405395681072038272e+00,-6.655787755038949399e+03,9.912624544211081457e+02,-2.676775727765383408e+02
3.430552910917619158e+01,5.953334962142276865e+00,-8.400069216069272926e+00,-6.655897524406109369e+03,9.906290216302840008e+02,-2.673379272858297782e+02
3.430494976744953561e+01,5.953439920097018501e+00,-8.394742866903738943e+00,-6.656007216501641778e+03,9.899955775641125229e+02,-2.669982783061802252e+02
3.430437012468322422e+01,5.953544644875759850e+00,-8.389416632615219527e+00,-6.656116831396495400e+03,9.893621217443665046e+02,-2.666586258420252307e+02
3.430379018154945925e+01,5.953649135944610649e+00,-8.384090515800398435e+00,-6.656226368945145623e+03,9.887286551488891746e+02,-2.663189698978001161e+02
3.430320993776229699e+01,5.953753393540457850e+00,-8.378764515499048215e+00,-6.656335829218590334e+03,9.880951772994383191e+02,-2.659793104779404871e+02
3.430262939335519690e+01,5.953857417643258820e+00,-8.373438631936576115e+00,-6.656445212215644460e+03,9.874616882031024261e+02,-2.656396475868818925e+02
