# f=31.67754485207151,a=6760.000656878837,e=0.004426870208295852,i=26.264873442639626,Om=287.36198671622157,w=323.08397712963483,total_time=3,timestep=0.1
Bx,By,Bz,X,Y,Z
2.842056126394587778e+01,3.296703141742918231e+00,5.609770606495162681e+00,-1.389977671133638069e+03,-6.583872560222172979e+03,-2.720926446440764721e+02
2.842059124846868556e+01,3.296744786894049373e+00,5.609699940674376606e+00,-1.390025681938257776e+03,-6.583862424067550819e+03,-2.720926446440764721e+02
2.842043988252329356e+01,3.295985908558458632e+00,5.613592466564819361e+00,-1.389400033428273900e+03,-6.584010335434694753e+03,-2.717530480576936611e+02
2.842028838786410105e+01,3.295226684916109150e+00,5.617485033030188646e+00,-1.388774369016357468e+03,-6.584158170351667650e+03,-2.714134479247784952e+02
2.842013676444905812e+01,3.294467115824938119e+00,5.621377639819124639e+00,-1.388148688709525004e+03,-6.584305928816851520e+03,-2.710738442497658980e+02
2.841998501223624629e+01,3.293707201143075913e+00,5.625270286680112086e+00,-1.387522992514816679e+03,-6.584453610828624733e+03,-2.707342370370906224e+02
2.841983313118369736e+01,3.292946940728712413e+00,5.629162973361475863e+00,-1.386897280439264023e+03,-6.584601216385366570e+03,-2.703946262911875351e+02
2.841968112094927434e+01,3.292186334022182415e+00,5.633055700318069903e+00,-1.386271552009713332e+03,-6.584748745586551195e+03,-2.700550120164916166e+02
2.841952898209184397e+01,3.291425381717660414e+00,5.636948465884672466e+00,-1.385645808193543871e+03,-6.584896198228334470e+03,-2.697153942174377335e+02
2.841937671426938650e+01,3.290664083255971928e+00,5.640841270515813299e+00,-1.385020048517632176e+03,-6.585043574410232395e+03,-2.693757728984609230e+02
2.841922431744022148e+01,3.289902438495811765e+00,5.644734113959298583e+00,-1.384394272988993862e+03,-6.585190874130632437e+03,-2.690361480639962224e+02
2.841907179156283192e+01,3.289140447295987979e+00,5.648626995962742647e+00,-1.383768481614670236e+03,-6.585338097387920243e+03,-2.686965197184786120e+02
2.841891913659564395e+01,3.288378109515421865e+00,5.652519916273634593e+00,-1.383142674401696240e+03,-6.585485244180479640e+03,-2.683568878663433566e+02
2.841876635249720096e+01,3.287615425013128867e+00,5.656412874639341837e+00,-1.382516851357081805e+03,-6.585632314506701732e+03,-2.680172525120254932e+02
2.841861343922615646e+01,3.286852393648335369e+00,5.660305870807025741e+00,-1.381891012487901435e+03,-6.585779308364966710e+03,-2.676776136599602296e+02
2.841846039674116042e+01,3.286089015280305503e+00,5.664198904523779277e+00,-1.381265157801170290e+03,-6.585926225753667495e+03,-2.673379713145827736e+02
2.841830722500094453e+01,3.285325289768424639e+00,5.668091975536537319e+00,-1.380639287303907849e+03,-6.586073066671196102e+03,-2.669983254803285035e+02
2.841815392396430084e+01,3.284561216972226028e+00,5.671985083592069543e+00,-1.380013401003157469e+03,-6.586219831115939087e+03,-2.666586761616325703e+02
2.841800049359014579e+01,3.283796796751376146e+00,5.675878228437028383e+00,-1.379387498905955454e+03,-6.586366519086292101e+03,-2.663190233629304089e+02
2.841784693383737448e+01,3.283032028965642724e+00,5.679771409817901962e+00,-1.378761581019344476e+03,-6.586513130580640791e+03,-2.659793670886573409e+02
2.841769324466500279e+01,3.282266913474900516e+00,5.683664627481063825e+00,-1.378135647350337649e+03,-6.586659665597385356e+03,-2.656397073432488583e+02
2.841753942573107850e+01,3.281501449717660890e+00,5.687557881879359734e+00,-1.377509697425667582e+03,-6.586806124235366042e+03,-2.653000441311401119e+02
2.841738547759664613e+01,3.280735638396794052e+00,5.691451171345632609e+00,-1.376883732212977748e+03,-6.586952506292037469e+03,-2.649603774567659684e+02
2.841723139992003766e+01,3.279969478951334505e+00,5.695344496332434225e+00,-1.376257751239016670e+03,-6.587098811866283540e+03,-2.646207073245619767e+02
2.841707719266043242e+01,3.279202971241623299e+00,5.699237856585580353e+00,-1.375631754510800647e+03,-6.587245040956506273e+03,-2.642810337389638562e+02
2.841692285577713761e+01,3.278436115128149364e+00,5.703131251850711791e+00,-1.375005742035376670e+03,-6.587391193561102227e+03,-2.639413567044072693e+02
2.841676838922960613e+01,3.277668910471569497e+00,5.707024681873355654e+00,-1.374379713819782864e+03,-6.587537269678468874e+03,-2.636016762253278785e+02
2.841661379297723400e+01,3.276901357132578241e+00,5.710918146398919149e+00,-1.373753669871033253e+03,-6.587683269307009141e+03,-2.632619923061616305e+02
2.841645906697956647e+01,3.276133454972058434e+00,5.714811645172612309e+00,-1.373127610196184605e+03,-6.587829192445120498e+03,-2.629223049513440742e+02
2.841630421119617722e+01,3.275365203850967522e+00,5.718705177939543915e+00,-1.372501534802263905e+03,-6.587975039091204053e+03,-2.625826141653111563e+02
2.841614922558669321e+01,3.274596603630429481e+00,5.722598744444691299e+00,-1.371875443696307684e+03,-6.588120809243666372e+03,-2.622429199524987666e+02
2.841599411011087284e+01,3.273827654171665102e+00,5.726492344432855042e+00,-1.371249336885353614e+03,-6.588266502900905834e+03,-2.619032223173428520e+02
2.841583886472843901e+01,3.273058355336018188e+00,5.730385977648728257e+00,-1.370623214376447095e+03,-6.588412120061326277e+03,-2.615635212642793022e+02
